record_id,model,condition,rank,source_attached_execution,type_completed_execution,completion_rescue,completion_break,production_accept,reference_accept,accept_agreement,error_set_agreement,production_errors,reference_errors,source_error,completed_error
nvbench2:dev:33,gemma3:27b,direct,2,1,1,0,0,0,0,1,1,count_with_field:x,count_with_field:x,,
nvbench2:dev:34,gemma3:27b,direct,1,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:34,gemma3:27b,direct,2,1,1,0,0,0,0,1,1,count_with_field:x,count_with_field:x,,
nvbench2:dev:35,gemma3:27b,direct,1,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:35,gemma3:27b,direct,2,0,0,0,0,1,1,1,1,,,"ValueError: Vega-Lite to SVG conversion failed:
TypeError: Cannot read properties of undefined (reading 'selection')
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:78716
    at F (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:847)
    at Sl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:78691)
    at wl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:78349)
    at Nc.mapLayerOrUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:84132)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69237)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:84031)
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79617
    at zl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79632)
    at Module.yg (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:244374)","ValueError: Vega-Lite to SVG conversion failed:
TypeError: Cannot read properties of undefined (reading 'selection')
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:78716
    at F (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:847)
    at Sl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:78691)
    at wl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:78349)
    at Nc.mapLayerOrUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:84132)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69237)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:84031)
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79617
    at zl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79632)
    at Module.yg (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:244374)"
nvbench2:dev:39,gemma3:27b,direct,1,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:39,gemma3:27b,direct,2,1,1,0,0,0,0,1,1,count_with_field:x|missing_required_channel,count_with_field:x|missing_required_channel,,
nvbench2:dev:40,gemma3:27b,direct,1,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:41,gemma3:27b,direct,1,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:41,gemma3:27b,direct,2,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:48,gemma3:27b,direct,1,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:49,gemma3:27b,direct,1,1,1,0,0,0,0,1,1,missing_required_channel,missing_required_channel,,
nvbench2:dev:51,gemma3:27b,direct,1,1,1,0,0,0,0,1,1,count_with_field:x,count_with_field:x,,
nvbench2:dev:51,gemma3:27b,direct,2,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:51,gemma3:27b,direct,3,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:54,gemma3:27b,direct,1,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:54,gemma3:27b,direct,2,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:57,gemma3:27b,direct,1,1,1,0,0,0,0,1,0,missing_required_channel,missing_encoding,,
nvbench2:dev:61,gemma3:27b,direct,1,1,1,0,0,0,0,1,1,missing_required_channel|unknown_field:row count,missing_required_channel|unknown_field:row count,,
nvbench2:dev:63,gemma3:27b,direct,1,1,1,0,0,0,0,1,0,missing_required_channel,missing_encoding,,
nvbench2:dev:63,gemma3:27b,direct,2,1,1,0,0,0,0,1,1,missing_required_channel,missing_required_channel,,
nvbench2:dev:63,gemma3:27b,direct,3,1,1,0,0,0,0,1,1,missing_required_channel,missing_required_channel,,
nvbench2:dev:68,gemma3:27b,direct,1,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:68,gemma3:27b,direct,2,1,1,0,0,0,0,1,1,count_with_field:x,count_with_field:x,,
nvbench2:dev:72,gemma3:27b,direct,1,0,0,0,0,0,0,1,1,count_with_field:color|count_with_field:theta,count_with_field:color|count_with_field:theta,"ValueError: Vega-Lite to SVG conversion failed:
Error: Unrecognized signal name: ""filtered_names""
    at l (https://cdn.jsdelivr.net/npm/vega-util@2.1.0/+esm:7:324)
    at hi.getSignal (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:45696)
    at https://cdn.jsdelivr.net/npm/vega-functions@6.1.0/+esm:7:11097
    at Array.forEach (<anonymous>)
    at de (https://cdn.jsdelivr.net/npm/vega-functions@6.1.0/+esm:7:11059)
    at xn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:18407)
    at bn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:18060)
    at yn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:17584)
    at hn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:17396)
    at https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:28401","ValueError: Vega-Lite to SVG conversion failed:
Error: Unrecognized signal name: ""filtered_names""
    at l (https://cdn.jsdelivr.net/npm/vega-util@2.1.0/+esm:7:324)
    at hi.getSignal (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:45696)
    at https://cdn.jsdelivr.net/npm/vega-functions@6.1.0/+esm:7:11097
    at Array.forEach (<anonymous>)
    at de (https://cdn.jsdelivr.net/npm/vega-functions@6.1.0/+esm:7:11059)
    at xn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:18407)
    at bn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:18060)
    at yn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:17584)
    at hn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:17396)
    at https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:28401"
nvbench2:dev:72,gemma3:27b,direct,2,0,0,0,0,0,0,1,1,count_with_field:x|count_with_field:y,count_with_field:x|count_with_field:y,"ValueError: Vega-Lite to SVG conversion failed:
Error: Unrecognized signal name: ""filtered_names""
    at l (https://cdn.jsdelivr.net/npm/vega-util@2.1.0/+esm:7:324)
    at hi.getSignal (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:45696)
    at https://cdn.jsdelivr.net/npm/vega-functions@6.1.0/+esm:7:11097
    at Array.forEach (<anonymous>)
    at de (https://cdn.jsdelivr.net/npm/vega-functions@6.1.0/+esm:7:11059)
    at xn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:18407)
    at bn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:18060)
    at yn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:17584)
    at hn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:17396)
    at https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:28401","ValueError: Vega-Lite to SVG conversion failed:
Error: Unrecognized signal name: ""filtered_names""
    at l (https://cdn.jsdelivr.net/npm/vega-util@2.1.0/+esm:7:324)
    at hi.getSignal (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:45696)
    at https://cdn.jsdelivr.net/npm/vega-functions@6.1.0/+esm:7:11097
    at Array.forEach (<anonymous>)
    at de (https://cdn.jsdelivr.net/npm/vega-functions@6.1.0/+esm:7:11059)
    at xn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:18407)
    at bn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:18060)
    at yn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:17584)
    at hn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:17396)
    at https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:28401"
nvbench2:dev:72,gemma3:27b,direct,3,0,0,0,0,0,0,1,1,count_with_field:y,count_with_field:y,"ValueError: Vega-Lite to SVG conversion failed:
Error: Unrecognized signal name: ""filtered_names""
    at l (https://cdn.jsdelivr.net/npm/vega-util@2.1.0/+esm:7:324)
    at hi.getSignal (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:45696)
    at https://cdn.jsdelivr.net/npm/vega-functions@6.1.0/+esm:7:11097
    at Array.forEach (<anonymous>)
    at de (https://cdn.jsdelivr.net/npm/vega-functions@6.1.0/+esm:7:11059)
    at xn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:18407)
    at bn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:18060)
    at yn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:17584)
    at hn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:17396)
    at https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:28401","ValueError: Vega-Lite to SVG conversion failed:
Error: Unrecognized signal name: ""filtered_names""
    at l (https://cdn.jsdelivr.net/npm/vega-util@2.1.0/+esm:7:324)
    at hi.getSignal (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:45696)
    at https://cdn.jsdelivr.net/npm/vega-functions@6.1.0/+esm:7:11097
    at Array.forEach (<anonymous>)
    at de (https://cdn.jsdelivr.net/npm/vega-functions@6.1.0/+esm:7:11059)
    at xn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:18407)
    at bn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:18060)
    at yn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:17584)
    at hn (https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:17396)
    at https://cdn.jsdelivr.net/npm/vega-parser@7.1.0/+esm:7:28401"
nvbench2:dev:73,gemma3:27b,direct,1,1,1,0,0,0,0,1,1,count_with_field:color|count_with_field:theta,count_with_field:color|count_with_field:theta,,
nvbench2:dev:73,gemma3:27b,direct,2,1,1,0,0,0,0,1,1,count_with_field:x,count_with_field:x,,
nvbench2:dev:73,gemma3:27b,direct,3,1,1,0,0,0,0,1,1,count_with_field:x,count_with_field:x,,
nvbench2:dev:76,gemma3:27b,direct,1,1,1,0,0,0,0,1,1,count_with_field:y,count_with_field:y,,
nvbench2:dev:76,gemma3:27b,direct,2,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:76,gemma3:27b,direct,3,1,1,0,0,0,0,1,1,count_with_field:y,count_with_field:y,,
nvbench2:dev:76,gemma3:27b,direct,4,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:83,gemma3:27b,direct,1,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:83,gemma3:27b,direct,2,1,1,0,0,0,0,1,1,count_with_field:x,count_with_field:x,,
nvbench2:dev:84,gemma3:27b,direct,1,1,1,0,0,0,0,1,1,count_with_field:y|missing_required_channel|unknown_field:row count,count_with_field:y|missing_required_channel|unknown_field:row count,,
nvbench2:dev:84,gemma3:27b,direct,2,1,1,0,0,0,0,1,1,count_with_field:y|missing_required_channel|unknown_field:row count,count_with_field:y|missing_required_channel|unknown_field:row count,,
nvbench2:dev:84,gemma3:27b,direct,3,1,1,0,0,0,0,1,1,count_with_field:y|missing_required_channel|unknown_field:row count,count_with_field:y|missing_required_channel|unknown_field:row count,,
nvbench2:dev:89,gemma3:27b,direct,1,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:89,gemma3:27b,direct,2,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:92,gemma3:27b,direct,1,1,1,0,0,0,0,1,1,count_with_field:theta|missing_required_channel|unknown_field:row count,count_with_field:theta|missing_required_channel|unknown_field:row count,,
nvbench2:dev:92,gemma3:27b,direct,2,1,1,0,0,0,0,1,1,count_with_field:y|missing_required_channel|unknown_field:row count,count_with_field:y|missing_required_channel|unknown_field:row count,,
nvbench2:dev:97,gemma3:27b,direct,1,1,1,0,0,0,0,1,1,count_with_field:y,count_with_field:y,,
nvbench2:dev:97,gemma3:27b,direct,2,1,1,0,0,0,0,1,1,count_with_field:y,count_with_field:y,,
nvbench2:dev:103,gemma3:27b,direct,1,0,1,1,0,1,1,1,1,,,"ValueError: Vega-Lite to SVG conversion failed:
Error: Need a valid continuous axis for boxplots
    at Ns (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:50476)
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:51047
    at hs.As [as run] (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:52410)
    at Nc.mapUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80950)
    at Nc.mapLayerOrUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69333)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69237)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80566)
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79610
    at zl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79632)
    at Module.yg (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:244374)",
nvbench2:dev:103,gemma3:27b,direct,2,1,1,0,0,0,0,1,1,count_with_field:x,count_with_field:x,,
nvbench2:dev:105,gemma3:27b,direct,1,1,1,0,0,0,0,1,0,missing_required_channel,missing_encoding,,
nvbench2:dev:105,gemma3:27b,direct,2,1,1,0,0,0,0,1,1,missing_required_channel,missing_required_channel,,
nvbench2:dev:105,gemma3:27b,direct,3,1,1,0,0,0,0,1,1,missing_required_channel,missing_required_channel,,
nvbench2:dev:108,gemma3:27b,direct,1,0,1,1,0,0,0,1,1,missing_required_channel,missing_required_channel,"ValueError: Vega-Lite to SVG conversion failed:
Error: Need a valid continuous axis for boxplots
    at Ns (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:50476)
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:51047
    at hs.As [as run] (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:52410)
    at Nc.mapUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80950)
    at Nc.mapLayerOrUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69333)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69237)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80566)
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79610
    at zl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79632)
    at Module.yg (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:244374)",
nvbench2:dev:112,gemma3:27b,direct,1,0,0,0,0,0,0,1,0,missing_required_channel,missing_encoding,"ValueError: Vega-Lite to SVG conversion failed:
TypeError: Cannot convert undefined or null to object
    at keys (<anonymous>)
    at ks (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:47763)
    at hs.As [as run] (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:50644)
    at Nc.mapUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80950)
    at Nc.mapLayerOrUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69333)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69237)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80566)
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79610
    at zl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79632)
    at Module.yg (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:244374)","ValueError: Vega-Lite to SVG conversion failed:
TypeError: Cannot convert undefined or null to object
    at keys (<anonymous>)
    at ks (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:47763)
    at hs.As [as run] (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:50644)
    at Nc.mapUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80950)
    at Nc.mapLayerOrUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69333)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69237)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80566)
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79610
    at zl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79632)
    at Module.yg (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:244374)"
nvbench2:dev:112,gemma3:27b,direct,2,0,0,0,0,0,0,1,0,missing_required_channel,missing_encoding,"ValueError: Vega-Lite to SVG conversion failed:
TypeError: Cannot convert undefined or null to object
    at keys (<anonymous>)
    at ks (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:47763)
    at hs.As [as run] (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:50644)
    at Nc.mapUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80950)
    at Nc.mapLayerOrUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69333)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69237)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80566)
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79610
    at zl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79632)
    at Module.yg (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:244374)","ValueError: Vega-Lite to SVG conversion failed:
TypeError: Cannot convert undefined or null to object
    at keys (<anonymous>)
    at ks (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:47763)
    at hs.As [as run] (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:50644)
    at Nc.mapUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80950)
    at Nc.mapLayerOrUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69333)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69237)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80566)
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79610
    at zl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79632)
    at Module.yg (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:244374)"
nvbench2:dev:114,gemma3:27b,direct,1,1,1,0,0,0,0,1,1,missing_required_channel,missing_required_channel,,
nvbench2:dev:114,gemma3:27b,direct,2,0,1,1,0,1,1,1,1,,,"ValueError: Vega-Lite to SVG conversion failed:
Error: Need a valid continuous axis for boxplots
    at Ns (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:50476)
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:51047
    at hs.As [as run] (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:52410)
    at Nc.mapUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80950)
    at Nc.mapLayerOrUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69333)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69237)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80566)
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79610
    at zl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79632)
    at Module.yg (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:244374)",
nvbench2:dev:114,gemma3:27b,direct,3,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:116,gemma3:27b,direct,1,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:116,gemma3:27b,direct,2,1,1,0,0,0,0,1,1,count_with_field:x,count_with_field:x,,
nvbench2:dev:116,gemma3:27b,direct,3,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:116,gemma3:27b,direct,4,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:118,gemma3:27b,direct,1,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:118,gemma3:27b,direct,2,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:127,gemma3:27b,direct,1,1,1,0,0,0,0,1,0,missing_required_channel,missing_encoding,,
nvbench2:dev:127,gemma3:27b,direct,2,1,1,0,0,0,0,1,1,missing_required_channel,missing_required_channel,,
nvbench2:dev:136,gemma3:27b,direct,1,0,0,0,0,0,0,1,0,missing_required_channel,missing_encoding,"ValueError: Vega-Lite to SVG conversion failed:
TypeError: Cannot convert undefined or null to object
    at keys (<anonymous>)
    at ks (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:47763)
    at hs.As [as run] (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:50644)
    at Nc.mapUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80950)
    at Nc.mapLayerOrUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69333)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69237)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80566)
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79610
    at zl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79632)
    at Module.yg (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:244374)","ValueError: Vega-Lite to SVG conversion failed:
TypeError: Cannot convert undefined or null to object
    at keys (<anonymous>)
    at ks (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:47763)
    at hs.As [as run] (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:50644)
    at Nc.mapUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80950)
    at Nc.mapLayerOrUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69333)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69237)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80566)
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79610
    at zl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79632)
    at Module.yg (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:244374)"
nvbench2:dev:138,gemma3:27b,direct,1,1,1,0,0,0,0,1,1,count_with_field:x,count_with_field:x,,
nvbench2:dev:138,gemma3:27b,direct,2,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:139,gemma3:27b,direct,1,1,1,0,0,0,0,1,1,count_with_field:y,count_with_field:y,,
nvbench2:dev:139,gemma3:27b,direct,2,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:139,gemma3:27b,direct,3,1,1,0,0,0,0,1,1,count_with_field:y,count_with_field:y,,
nvbench2:dev:143,gemma3:27b,direct,1,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:143,gemma3:27b,direct,2,1,1,0,0,1,1,1,1,,,,
