record_id,gold_count,step4_count,step5_count,step6_count,raw_count,expanded_count,deduplicated_complete_count,cap15_count,step6_set_equal_gold,step6_contains_any_gold,complete_pool_contains_any_gold,heuristic_top5_contains_any_gold
nvbench2:train:31,4,1,2,4,7,7,6,6,1,1,1,1
nvbench2:train:32,2,1,2,2,5,5,2,2,1,1,1,1
nvbench2:train:33,2,1,2,2,5,5,2,2,1,1,1,1
nvbench2:train:34,4,1,2,4,7,7,6,6,1,1,1,1
nvbench2:train:35,2,1,2,2,5,5,4,4,1,1,1,1
nvbench2:train:36,2,1,2,2,5,5,4,4,1,1,1,1
nvbench2:train:37,2,1,2,2,5,5,2,2,1,1,1,1
nvbench2:train:38,2,1,2,2,5,5,2,2,1,1,1,1
nvbench2:train:39,2,1,2,2,5,5,4,4,1,1,1,1
nvbench2:train:40,2,1,2,2,5,5,2,2,1,1,1,1
nvbench2:train:41,2,1,1,2,4,6,3,3,1,1,1,1
nvbench2:train:42,4,1,4,4,9,9,9,9,1,1,1,0
nvbench2:train:43,4,1,4,4,9,9,9,9,1,1,1,0
nvbench2:train:44,3,1,3,3,7,7,3,3,1,1,1,1
nvbench2:train:45,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:46,4,2,4,4,10,10,10,10,1,1,1,0
nvbench2:train:47,3,1,2,3,6,8,6,6,1,1,1,1
nvbench2:train:48,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:49,3,1,2,3,6,8,5,5,1,1,1,1
nvbench2:train:50,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:51,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:52,3,1,3,3,7,7,6,6,1,1,1,1
nvbench2:train:53,3,3,3,3,10,10,5,5,1,1,1,1
nvbench2:train:54,4,2,2,4,8,8,6,6,1,1,1,1
nvbench2:train:55,3,3,3,3,10,10,8,8,1,1,1,0
nvbench2:train:56,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:57,5,5,5,5,15,15,9,9,0,1,1,0
nvbench2:train:58,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:59,3,2,3,3,8,8,5,5,1,1,1,1
nvbench2:train:60,3,1,2,3,6,8,5,5,1,1,1,1
nvbench2:train:61,3,1,3,3,7,7,3,3,1,1,1,1
nvbench2:train:62,3,1,2,2,5,7,7,7,0,1,1,0
nvbench2:train:63,3,1,3,3,7,7,3,3,1,1,1,1
nvbench2:train:64,3,1,3,3,7,7,7,7,1,1,1,1
nvbench2:train:65,5,1,5,5,11,11,6,6,1,1,1,1
nvbench2:train:66,3,1,3,3,7,7,3,3,1,1,1,1
nvbench2:train:67,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:68,3,1,2,2,5,5,5,5,0,1,1,1
nvbench2:train:69,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:70,4,2,4,4,10,10,10,10,1,1,1,0
nvbench2:train:71,2,1,1,1,3,4,4,4,0,1,1,1
nvbench2:train:72,2,1,1,1,3,4,4,4,0,1,1,1
nvbench2:train:73,2,1,2,2,5,5,4,4,1,1,1,1
nvbench2:train:74,2,1,1,1,3,4,4,4,0,1,1,1
nvbench2:train:75,4,2,2,4,8,8,6,6,1,1,1,1
nvbench2:train:76,2,1,1,2,4,6,4,4,1,1,1,1
nvbench2:train:77,2,1,2,2,5,5,2,2,1,1,1,1
nvbench2:train:78,2,1,2,2,5,5,4,4,1,1,1,1
nvbench2:train:79,2,1,1,1,3,3,3,3,0,0,0,0
nvbench2:train:80,2,1,1,2,4,6,4,4,1,1,1,1
nvbench2:train:81,4,2,4,4,10,10,10,10,1,1,1,0
nvbench2:train:82,2,1,1,2,4,6,4,4,1,1,1,1
nvbench2:train:83,2,1,1,2,4,6,3,3,1,1,1,1
nvbench2:train:84,2,1,2,2,5,5,2,2,1,1,1,1
nvbench2:train:85,2,1,2,2,5,5,4,4,1,1,1,1
nvbench2:train:86,2,1,2,2,5,5,2,2,1,1,1,1
nvbench2:train:87,2,1,1,2,4,6,4,4,1,1,1,1
nvbench2:train:88,2,1,2,2,5,5,4,4,1,1,1,1
nvbench2:train:89,2,1,1,2,4,6,4,4,1,1,1,1
nvbench2:train:90,4,1,2,2,5,5,2,2,0,1,1,1
nvbench2:train:91,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:92,3,3,3,3,9,9,8,8,1,1,1,0
nvbench2:train:93,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:94,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:95,3,3,3,3,10,10,8,8,1,1,1,0
nvbench2:train:96,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:97,4,1,4,4,9,9,5,5,1,1,1,1
nvbench2:train:98,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:99,4,1,4,4,9,9,5,5,1,1,1,1
nvbench2:train:100,4,2,4,4,10,10,10,10,1,1,1,0
nvbench2:train:101,5,1,1,1,3,4,3,3,0,1,1,1
nvbench2:train:102,2,1,1,1,3,4,3,3,0,1,1,1
nvbench2:train:103,2,2,2,2,6,6,2,2,1,1,1,1
nvbench2:train:104,4,1,2,4,7,11,7,7,1,1,1,1
nvbench2:train:105,4,2,4,4,10,20,20,15,1,1,1,1
nvbench2:train:106,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:107,4,2,4,4,10,20,12,12,1,1,1,1
nvbench2:train:108,5,1,5,5,11,11,6,6,1,1,1,1
nvbench2:train:109,5,1,5,5,11,11,6,6,1,1,1,1
nvbench2:train:110,5,1,5,5,11,11,6,6,1,1,1,1
nvbench2:train:111,5,2,5,5,12,12,12,12,1,1,1,0
nvbench2:train:112,3,1,2,3,6,8,5,5,1,1,1,1
nvbench2:train:113,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:114,5,1,5,5,11,11,6,6,1,1,1,1
nvbench2:train:115,5,1,5,5,11,11,6,6,1,1,1,1
nvbench2:train:116,5,2,2,2,6,6,4,4,0,1,1,1
nvbench2:train:117,2,1,2,2,5,10,10,10,1,1,1,1
nvbench2:train:118,4,4,4,4,12,12,4,4,1,1,1,1
nvbench2:train:119,5,1,5,5,11,11,6,6,1,1,1,1
nvbench2:train:120,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:121,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:122,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:123,4,2,4,4,10,10,5,5,1,1,1,1
nvbench2:train:124,5,1,4,5,10,12,9,9,1,1,1,1
nvbench2:train:125,4,2,4,4,10,10,9,9,1,1,1,0
nvbench2:train:126,2,2,2,2,6,6,6,6,1,1,1,1
nvbench2:train:127,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:128,4,1,1,1,3,3,2,2,0,1,1,1
nvbench2:train:129,5,2,5,5,12,12,12,12,1,1,1,0
nvbench2:train:130,2,2,2,2,6,6,2,2,1,1,1,1
nvbench2:train:131,5,1,5,5,11,11,10,10,1,1,1,0
nvbench2:train:132,5,2,4,4,10,10,8,8,0,1,1,1
nvbench2:train:133,3,1,2,1,4,4,3,3,0,1,1,1
nvbench2:train:134,2,1,2,2,5,10,10,10,1,1,1,1
nvbench2:train:135,4,4,4,4,12,12,4,4,1,1,1,1
nvbench2:train:136,4,1,4,4,9,9,5,5,1,1,1,1
nvbench2:train:137,4,1,2,4,7,7,4,4,1,1,1,1
nvbench2:train:138,2,1,1,2,4,4,4,4,1,1,1,1
nvbench2:train:139,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:140,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:141,4,2,2,4,8,8,6,6,1,1,1,1
nvbench2:train:142,4,1,4,4,9,9,5,5,1,1,1,1
nvbench2:train:143,2,1,1,1,3,3,2,2,0,0,0,0
nvbench2:train:144,3,3,3,3,9,9,7,7,1,1,1,1
nvbench2:train:145,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:146,4,1,1,1,3,3,2,2,0,0,0,0
nvbench2:train:147,3,1,3,3,7,7,7,7,1,1,1,1
nvbench2:train:148,2,1,1,2,4,4,3,3,1,1,1,1
nvbench2:train:149,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:150,5,2,5,5,12,12,12,12,1,1,1,0
nvbench2:train:151,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:152,5,2,5,5,12,12,12,12,1,1,1,0
nvbench2:train:153,2,2,2,2,6,6,6,6,1,1,1,1
nvbench2:train:154,5,1,5,5,11,11,11,11,1,1,1,0
nvbench2:train:155,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:156,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:157,2,1,1,1,3,3,2,2,0,1,1,1
nvbench2:train:158,5,5,5,5,15,15,10,10,0,1,1,0
nvbench2:train:159,2,1,1,1,3,3,1,1,0,1,1,1
nvbench2:train:160,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:161,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:162,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:163,5,2,5,5,12,12,12,12,1,1,1,0
nvbench2:train:164,2,2,2,2,6,6,2,2,1,1,1,1
nvbench2:train:165,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:166,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:167,5,1,5,5,11,11,11,11,1,1,1,0
nvbench2:train:168,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:169,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:170,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:171,5,5,5,5,15,15,10,10,0,1,1,0
nvbench2:train:172,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:173,3,1,2,3,6,6,5,5,1,1,1,1
nvbench2:train:174,5,1,5,5,11,11,6,6,1,1,1,1
nvbench2:train:175,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:176,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:177,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:178,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:179,5,1,5,5,11,11,6,6,1,1,1,1
nvbench2:train:180,3,1,2,3,6,8,5,5,1,1,1,1
nvbench2:train:181,4,4,4,4,12,12,4,4,1,1,1,1
nvbench2:train:182,2,1,2,2,5,10,10,10,1,1,1,1
nvbench2:train:183,5,1,5,5,11,11,6,6,1,1,1,1
nvbench2:train:184,4,2,4,4,10,10,8,8,1,1,1,1
nvbench2:train:185,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:186,3,2,3,3,8,8,8,8,1,1,1,0
nvbench2:train:187,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:188,2,2,2,2,6,6,6,6,1,1,1,1
nvbench2:train:189,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:190,3,1,3,3,7,7,6,6,1,1,1,1
nvbench2:train:191,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:192,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:193,3,2,3,3,8,8,8,8,1,1,1,0
nvbench2:train:194,2,2,2,2,6,6,2,2,1,1,1,1
nvbench2:train:195,5,5,5,5,15,15,9,9,0,1,1,1
nvbench2:train:196,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:197,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:198,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:199,5,5,5,5,15,15,9,9,0,1,1,0
nvbench2:train:200,5,5,5,5,15,15,15,15,1,1,1,0
nvbench2:train:201,5,5,5,5,15,15,10,10,1,1,1,0
nvbench2:train:202,2,2,2,2,6,6,2,2,1,1,1,1
nvbench2:train:203,2,2,2,2,6,6,6,6,1,1,1,1
nvbench2:train:204,2,2,2,2,6,6,2,2,1,1,1,1
nvbench2:train:205,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:206,2,2,2,2,6,6,2,2,1,1,1,1
nvbench2:train:207,2,2,2,2,6,6,2,2,1,1,1,1
nvbench2:train:208,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:209,2,2,2,2,6,6,2,2,1,1,1,1
nvbench2:train:210,2,2,2,2,6,6,2,2,1,1,1,1
nvbench2:train:211,5,5,5,5,15,15,10,10,1,1,1,0
nvbench2:train:212,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:213,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:214,4,1,2,4,7,7,4,4,1,1,1,1
nvbench2:train:215,2,1,1,2,4,4,4,4,1,1,1,1
nvbench2:train:216,2,2,2,2,6,6,6,6,1,1,1,1
nvbench2:train:217,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:218,3,1,3,3,7,7,7,7,1,1,1,1
nvbench2:train:219,4,1,4,4,9,9,9,9,1,1,1,0
nvbench2:train:220,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:221,4,1,4,4,9,9,4,4,1,1,1,1
nvbench2:train:222,4,2,4,4,10,10,10,10,1,1,1,0
nvbench2:train:223,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:224,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:225,3,1,3,3,7,7,7,7,1,1,1,1
nvbench2:train:226,4,2,4,4,10,10,6,6,1,1,1,1
nvbench2:train:227,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:228,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:229,3,2,1,1,4,4,4,4,0,1,1,1
nvbench2:train:230,2,1,1,1,3,3,2,2,0,1,1,1
nvbench2:train:231,3,1,3,3,7,7,7,7,1,1,1,1
nvbench2:train:232,2,1,2,2,5,5,4,4,1,1,1,1
nvbench2:train:233,3,1,3,3,7,7,7,7,1,1,1,1
nvbench2:train:234,4,1,4,4,9,9,8,8,1,1,1,1
nvbench2:train:235,4,4,4,4,12,12,8,8,1,1,1,1
nvbench2:train:236,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:237,5,2,5,5,12,12,12,12,1,1,1,0
nvbench2:train:238,5,2,5,5,12,12,12,12,1,1,1,0
nvbench2:train:239,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:240,5,1,5,5,11,11,10,10,1,1,1,0
nvbench2:train:241,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:242,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:243,5,1,2,1,4,4,3,3,0,1,1,1
nvbench2:train:244,5,1,4,4,9,9,9,9,0,1,1,0
nvbench2:train:245,5,1,4,4,9,9,5,5,0,1,1,1
nvbench2:train:246,2,1,2,2,5,5,4,4,1,1,1,1
nvbench2:train:247,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:248,1,1,1,1,4,4,1,1,1,1,1,1
nvbench2:train:249,5,2,5,5,12,12,12,12,1,1,1,0
nvbench2:train:250,4,2,4,4,10,10,6,6,1,1,1,1
nvbench2:train:251,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:252,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:253,3,1,3,3,7,7,6,6,1,1,1,1
nvbench2:train:254,5,1,4,4,9,9,9,9,0,1,1,0
nvbench2:train:255,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:256,2,2,2,2,6,12,8,8,1,1,1,1
nvbench2:train:257,2,1,1,2,4,4,3,3,1,1,1,1
nvbench2:train:258,2,2,2,2,6,6,2,2,1,1,1,1
nvbench2:train:259,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:260,5,2,5,5,12,12,12,12,1,1,1,0
nvbench2:train:261,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:262,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:263,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:264,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:265,2,1,1,2,4,4,3,3,1,1,1,1
nvbench2:train:266,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:267,3,1,3,3,7,7,6,6,1,1,1,1
nvbench2:train:268,3,1,3,3,7,7,7,7,1,1,1,1
nvbench2:train:269,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:270,2,1,1,2,4,4,3,3,1,1,1,1
nvbench2:train:271,5,5,5,5,15,15,10,10,1,1,1,0
nvbench2:train:272,5,1,5,5,11,11,6,6,1,1,1,1
nvbench2:train:273,5,1,5,5,11,11,6,6,1,1,1,1
nvbench2:train:274,5,1,5,5,11,11,6,6,1,1,1,1
nvbench2:train:275,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:276,5,1,5,5,11,11,11,11,1,1,1,0
nvbench2:train:277,5,5,5,5,15,15,10,10,1,1,1,1
nvbench2:train:278,5,1,5,5,11,11,11,11,1,1,1,0
nvbench2:train:279,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:280,5,1,5,5,11,11,11,11,1,1,1,0
nvbench2:train:281,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:282,2,1,1,2,4,4,3,3,1,1,1,1
nvbench2:train:283,2,1,1,2,4,4,3,3,1,1,1,1
nvbench2:train:284,5,1,3,5,9,13,8,8,1,1,1,1
nvbench2:train:285,2,1,1,1,3,3,1,1,0,1,1,1
nvbench2:train:286,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:287,4,2,4,4,10,10,6,6,1,1,1,1
nvbench2:train:288,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:289,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:290,5,1,3,5,9,13,8,8,1,1,1,1
nvbench2:train:291,3,1,3,3,7,14,14,14,1,1,1,1
nvbench2:train:292,2,1,1,1,3,3,2,2,0,1,1,1
nvbench2:train:293,5,1,1,1,3,3,2,2,0,1,1,1
nvbench2:train:294,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:295,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:296,3,1,3,3,7,14,8,8,1,1,1,1
nvbench2:train:297,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:298,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:299,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:300,5,1,4,5,10,12,9,9,1,1,1,1
nvbench2:train:301,4,2,4,4,10,10,5,5,1,1,1,1
nvbench2:train:302,5,1,4,5,10,12,9,9,1,1,1,1
nvbench2:train:303,4,2,4,4,10,10,9,9,1,1,1,0
nvbench2:train:304,2,2,2,2,6,6,6,6,1,1,1,1
nvbench2:train:305,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:306,4,1,4,4,9,9,9,9,1,1,1,0
nvbench2:train:307,3,2,3,3,8,8,8,8,1,1,1,0
nvbench2:train:308,3,1,3,3,7,7,7,7,1,1,1,1
nvbench2:train:309,2,2,2,2,6,6,4,4,0,1,1,1
nvbench2:train:310,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:311,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:312,2,1,1,1,3,3,1,1,0,0,0,0
nvbench2:train:313,4,1,4,4,9,9,9,9,1,1,1,0
nvbench2:train:314,3,2,3,3,8,8,7,7,1,1,1,1
nvbench2:train:315,1,1,1,1,4,4,2,2,1,1,1,1
nvbench2:train:316,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:317,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:318,3,3,3,3,9,9,3,3,1,1,1,1
nvbench2:train:319,3,3,3,3,9,9,3,3,1,1,1,1
nvbench2:train:320,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:321,4,1,4,4,9,9,5,5,1,1,1,1
nvbench2:train:322,3,1,3,3,7,7,6,6,1,1,1,1
nvbench2:train:323,4,1,2,4,7,11,7,7,1,1,1,1
nvbench2:train:324,4,1,4,4,9,9,8,8,1,1,1,1
nvbench2:train:325,2,1,2,2,5,10,10,10,1,1,1,1
nvbench2:train:326,4,1,2,4,7,11,7,7,1,1,1,1
nvbench2:train:327,2,2,2,2,6,6,2,2,1,1,1,1
nvbench2:train:328,4,1,2,4,7,11,7,7,1,1,1,1
nvbench2:train:329,2,1,1,1,3,3,2,2,0,0,0,0
nvbench2:train:330,4,2,4,4,10,20,12,12,1,1,1,1
nvbench2:train:331,2,1,1,2,4,6,3,3,1,1,1,1
nvbench2:train:332,5,2,5,5,12,12,12,12,1,1,1,0
nvbench2:train:333,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:334,5,5,5,5,15,15,10,10,1,1,1,0
nvbench2:train:335,5,1,5,5,11,11,6,6,1,1,1,1
nvbench2:train:336,5,2,5,5,12,12,12,12,1,1,1,0
nvbench2:train:337,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:338,5,1,5,5,11,11,11,11,1,1,1,0
nvbench2:train:339,5,1,5,5,11,11,11,11,1,1,1,0
nvbench2:train:340,5,5,5,5,15,15,10,10,1,1,1,0
nvbench2:train:341,5,1,5,5,11,11,6,6,1,1,1,1
nvbench2:train:342,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:343,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:344,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:345,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:346,3,1,3,3,7,7,7,7,1,1,1,1
nvbench2:train:347,5,1,5,5,11,11,5,5,0,0,0,0
nvbench2:train:348,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:349,3,1,3,3,7,7,4,4,1,1,1,1
nvbench2:train:350,3,1,2,3,6,8,6,6,1,1,1,1
nvbench2:train:351,2,2,2,2,6,12,8,8,1,1,1,1
nvbench2:train:352,2,2,2,2,6,6,2,2,1,1,1,1
nvbench2:train:353,5,1,3,5,9,9,8,8,1,1,1,1
nvbench2:train:354,5,3,3,5,11,11,8,8,0,1,1,1
nvbench2:train:355,2,2,2,2,6,6,5,5,1,1,1,1
nvbench2:train:356,4,2,4,4,10,10,8,8,1,1,1,1
nvbench2:train:357,4,1,1,1,3,3,1,1,0,0,0,0
nvbench2:train:358,2,1,1,1,3,3,2,2,0,1,1,1
nvbench2:train:359,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:360,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:361,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:362,2,1,1,1,3,3,1,1,0,0,0,0
nvbench2:train:363,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:364,2,2,2,2,6,6,4,4,1,1,1,1
nvbench2:train:365,5,5,5,5,15,15,14,14,1,1,1,0
nvbench2:train:366,5,5,5,5,15,15,10,10,1,1,1,0
nvbench2:train:367,2,2,2,2,6,6,2,2,1,1,1,1
nvbench2:train:368,2,2,2,1,5,5,3,3,0,1,1,1
nvbench2:train:369,2,2,2,2,6,6,2,2,1,1,1,1
nvbench2:train:370,5,5,5,5,15,15,15,15,1,1,1,0
nvbench2:train:371,2,2,2,2,6,6,6,6,1,1,1,1
nvbench2:train:372,2,1,1,1,3,3,1,1,0,0,0,0
nvbench2:train:373,4,1,4,4,9,9,5,5,1,1,1,1
nvbench2:train:374,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:375,3,1,3,3,7,7,6,6,1,1,1,1
nvbench2:train:376,2,1,2,2,5,5,5,5,0,0,0,0
nvbench2:train:377,4,1,4,4,9,9,9,9,1,1,1,0
nvbench2:train:378,3,1,3,3,7,7,6,6,1,1,1,1
nvbench2:train:379,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:380,5,1,2,1,4,5,4,4,0,0,1,1
nvbench2:train:381,5,1,1,1,3,3,3,3,0,1,1,1
nvbench2:train:382,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:383,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:384,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:385,4,1,4,4,9,9,5,5,1,1,1,1
nvbench2:train:386,5,1,3,5,9,13,8,8,1,1,1,1
nvbench2:train:387,5,1,5,5,11,11,6,6,0,1,1,1
nvbench2:train:388,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:389,5,2,5,5,12,12,11,11,1,1,1,0
nvbench2:train:390,5,1,3,5,9,13,8,8,1,1,1,1
nvbench2:train:391,2,1,2,2,5,5,3,3,1,1,1,1
nvbench2:train:392,5,1,5,5,11,11,10,10,1,1,1,0
nvbench2:train:393,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:394,5,1,5,5,11,11,11,11,1,1,1,0
nvbench2:train:395,4,1,4,4,9,9,5,5,1,1,1,1
nvbench2:train:396,5,1,2,1,4,4,3,3,0,1,1,1
nvbench2:train:397,5,1,3,5,9,13,8,8,1,1,1,1
nvbench2:train:398,4,1,4,4,9,18,10,10,1,1,1,1
nvbench2:train:399,5,1,1,1,3,3,3,3,0,1,1,1
nvbench2:train:400,4,1,4,4,9,9,5,5,1,1,1,1
nvbench2:train:401,2,1,2,2,5,5,5,5,1,1,1,1
nvbench2:train:402,5,1,1,1,3,3,1,1,0,0,0,0
nvbench2:train:403,5,2,5,5,12,12,6,6,1,1,1,1
nvbench2:train:404,2,1,2,2,5,5,3,3,1,1,1,1
